DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	13q14.2	13	48275667	NR	ITM2B - RB1-DT	ENSG00000136156	ENSG00000231473		5310	20495	rs9535006-A	rs9535006	0	9535006	intergenic_variant	1	0.25	7E-9	8.154901959985743		0.021	[0.013-0.029] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	15q26.2	15	96298295	NR	NR2F2-AS1			ENSG00000247809			rs7173576-T	rs7173576	0	7173576	intron_variant	0	0.26	3E-12	11.522878745280337		0.025	[0.017-0.033] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	15q14	15	38334274	NR	SPRED1			ENSG00000166068			rs11853312-A	rs11853312	0	11853312	intron_variant	0	0.11	1E-9	9.0		0.031	[0.021-0.041] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	15q26.3	15	98638434	NR	FAM169B - IRAIN	ENSG00000283597	ENSG00000259424		90706	8517	rs4965425-T	rs4965425	0	4965425	intergenic_variant	1	0.47	4E-9	8.397940008672037		0.019	[0.013-0.025] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	15q26.1	15	90885060	NR	FES			ENSG00000182511			rs11539637-T	rs11539637	0	11539637	synonymous_variant	0	0.47	2E-8	7.698970004336019		0.019	[0.013-0.025] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	17p13.1	17	7237287	NR	PHF23			ENSG00000040633			rs222852-A	rs222852	0	222852	intron_variant	0	0.44	3E-14	13.522878745280337		0.025	[0.019-0.031] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	18q11.2	18	23141009	NR	CABLES1			ENSG00000134508			rs11082304-T	rs11082304	0	11082304	intron_variant	0	0.49	3E-10	9.522878745280337		0.02	[0.014-0.026] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	19p13.3	19	4915435	NR	UHRF1			ENSG00000276043			rs2779165-C	rs2779165	0	2779165	intron_variant	0	0.18	1E-10	10.0		0.027	[0.019-0.035] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	19q13.42	19	54219486	NR	RPS9, RPS9, RPS9, RPS9, RPS9, LILRB3, LILRB3, LILRB3, LILRB3			ENSG00000278270, ENSG00000170889, ENSG00000277079, ENSG00000274646, ENSG00000274950, ENSG00000275019, ENSG00000204577, ENSG00000277816, ENSG00000274587			rs255774-A	rs255774	0	255774	splice_donor_variant	0	0.46	1E-8	8.0		0.019	[0.013-0.025] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	19q13.2	19	40213169	NR	MAP3K10			ENSG00000130758			rs1129156-T	rs1129156	0	1129156	missense_variant	0	0.26	3E-8	7.522878745280337		0.02	[0.012-0.028] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	20q12	20	40525455	NR							rs6016373-A	rs6016373	0	6016373	regulatory_region_variant	1	0.41	9E-15	14.045757490560675		0.026	[0.02-0.032] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	20q11.21	20	32726818	NR	COMMD7			ENSG00000149600			rs2064933-A	rs2064933	0	2064933	intron_variant	0	0.24	5E-13	12.301029995663981		0.027	[0.019-0.035] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	20q13.33	20	63817967	NR	ZBTB46			ENSG00000130584			rs6062541-T	rs6062541	0	6062541	intron_variant	0	0.23	1E-10	10.0		0.024	[0.016-0.032] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	1q21.3	1	155018913	NR	DCST2			ENSG00000163354			rs905938-T	rs905938	0	905938	intron_variant	0	0.26	5E-13	12.301029995663981		0.026	[0.018-0.034] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	1p12	1	118743078	NR							rs12039075-A	rs12039075	0	12039075	intergenic_variant	1	0.13	1E-10	10.0		0.031	[0.021-0.041] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	1q41	1	214858271	NR	NA - GAPDHP24		ENSG00000185221			12463	rs1244983-A	rs1244983	0	1244983	regulatory_region_variant	1	0.48	5E-10	9.301029995663981		0.02	[0.014-0.026] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	1q23.3	1	161675021	NR	FCGR2B			ENSG00000072694			rs17413015-T	rs17413015	0	17413015	non_coding_transcript_exon_variant	0	0.18	2E-8	7.698970004336019		0.024	[0.016-0.032] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	1p34.2	1	42992787	NR	SLC2A1-AS1			ENSG00000227533			rs12404679-T	rs12404679	0	12404679	intron_variant	0	0.14	4E-8	7.3979400086720375		0.026	[0.016-0.036] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	2q32.2	2	190980999	NR	STAT1			ENSG00000115415			rs1547550-C	rs1547550	0	1547550	intron_variant	0	0.36	1E-10	10.0		0.022	[0.014-0.03] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	2p25.1	2	9480572	NR	IAH1			ENSG00000134330			rs13032333-A	rs13032333	0	13032333	intron_variant	0	0.3	4E-10	9.397940008672037		0.022	[0.014-0.03] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	2q24.2	2	159573616	NR	BAZ2B			ENSG00000123636			rs4665083-A	rs4665083	0	4665083	intron_variant	0	0.38	2E-9	8.698970004336019		0.021	[0.013-0.029] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	2p21	2	42958392	NR	NA - LINC01819		ENSG00000231826			69431	rs754868-A	rs754868	0	754868	intergenic_variant	1	0.43	1E-8	8.0		0.019	[0.013-0.025] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	2q13	2	108792320	NR	CCDC138			ENSG00000163006			rs1724184-T	rs1724184	0	1724184	intron_variant	0	0.25	2E-8	7.698970004336019		0.021	[0.013-0.029] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	2p24.1	2	23676937	NR	KLHL29			ENSG00000119771			rs6713865-A	rs6713865	0	6713865	intron_variant	0	0.18	3E-8	7.522878745280337		0.023	[0.015-0.031] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	3q25.31	3	157077679	NR	LEKR1 - LINC00880	ENSG00000197980	ENSG00000243629		31550	3988	rs13322435-A	rs13322435	0	13322435	upstream_gene_variant	1	0.41	1E-51	51.0		0.05	[0.044-0.056] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	3q21.1	3	123346931	NR	ADCY5			ENSG00000173175			rs11708067-A	rs11708067	0	11708067	intron_variant	0	0.24	6E-24	23.221848749616356		0.038	[0.03-0.046] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	3q24	3	148905987	NR	CPA3 - UBQLN4P1	ENSG00000163751	ENSG00000241627		8784	79881	rs7647448-T	rs7647448	0	7647448	intron_variant	1	0.4	1E-10	10.0		0.021	[0.015-0.027] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	3q23	3	142404999	NR	XRN1			ENSG00000114127			rs2306700-T	rs2306700	0	2306700	missense_variant	0	0.13	2E-8	7.698970004336019		0.027	[0.017-0.037] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	4p15.31	4	17996803	NR	LCORL			ENSG00000178177			rs2061456-A	rs2061456	0	2061456	intron_variant	0	0.25	4E-25	24.397940008672037		0.038	[0.03-0.046] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	4q31.21	4	144623684	NR	KRT18P51 - HHIP-AS1	ENSG00000250504	ENSG00000248890		50701	19238	rs17776795-A	rs17776795	0	17776795	intron_variant	1	0.42	6E-19	18.221848749616356		0.029	[0.023-0.035] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	4q24	4	105227601	NR	TET2			ENSG00000168769			rs7674220-C	rs7674220	0	7674220	intron_variant	0	0.36	1E-14	14.0		0.026	[0.02-0.032] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	5q11.2	5	57795956	NR	NA - LINC02225		ENSG00000249584			94371	rs854037-A	rs854037	0	854037	intergenic_variant	1	0.2	4E-13	12.397940008672037		0.03	[0.022-0.038] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	5q13.1	5	68300260	NR	PIK3R1			ENSG00000145675			rs3756668-A	rs3756668	0	3756668	3_prime_UTR_variant	0	0.47	8E-11	10.096910013008056		0.021	[0.015-0.027] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	5q31.1	5	134513069	NR	LINC01843 - RN7SL541P	ENSG00000251169	ENSG00000240250		3840	4741	rs11242219-A	rs11242219	0	11242219	intergenic_variant	1	0.41	1E-10	10.0		0.021	[0.015-0.027] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	5q33.3	5	158457698	NR	LINC02227 - NA	ENSG00000276778			47925		rs2946164-T	rs2946164	0	2946164	intergenic_variant	1	0.27	3E-9	8.522878745280337		0.022	[0.014-0.03] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	6p22.3	6	20687890	NR	CDKAL1			ENSG00000145996			rs10440833-A	rs10440833	0	10440833	intron_variant	0	0.26	3E-25	24.522878745280337		0.038	[0.03-0.046] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
